Title,Speaker,Conference
The Work Moves Forward,President Gordon B. Hinckley,April 1999
Teach Them the Word of God with All Diligence,Elder L. Tom Perry,April 1999
"Greed, Selfishness, and Overindulgence",Elder Joe J. Christensen,April 1999
Preparing Our Families for the Temple,Carol B. Thomas,April 1999
The Hands of the Fathers,Elder Jeffrey R. Holland,April 1999
This Is Our Day,President James E. Faust,April 1999
The Sustaining of Church Officers,President Thomas S. Monson,April 1999
The Church Audit Committee Report,sented by Ted E. Davis,April 1999
"Statistical Report, 1998",sented by F. Michael Watson,April 1999
“Repent of [Our] Selfishness” (D&amp;C 56:8),Elder Neal A. Maxwell,April 1999
Receive the Temple Blessings,Elder Richard G. Scott,April 1999
“Out of Small Things”,Elder Stephen A. West,April 1999
True Followers,Elder Robert J. Whetten,April 1999
Strengthening Families: Our Sacred Duty,Elder Robert D. Hales,April 1999
The Witness: Martin Harris,Elder Dallin H. Oaks,April 1999
Our Sacred Duty to Honor Women,Elder Russell M. Nelson,April 1999
“Made Like unto the Son of God”,Elder Ray H. Wood,April 1999
Fellowshipping,Elder Ned B. Roueché,April 1999
Priesthood and the Home,Elder D. Lee Tobler,April 1999
Obedience: The Path to Freedom,President James E. Faust,April 1999
The Priesthood—Mighty Army of the Lord,President Thomas S. Monson,April 1999
The Shepherds of the Flock,President Gordon B. Hinckley,April 1999
"For I Was Blind, but Now I See",President Thomas S. Monson,April 1999
The Bishop and His Counselors,President Boyd K. Packer,April 1999
Friendship: A Gospel Principle,Elder Marlin K. Jensen,April 1999
Our Only Chance,Sheri L. Dew,April 1999
Love and Service,Elder David B. Haight,April 1999
"“He Is Not Here, but Is Risen”",President Gordon B. Hinckley,April 1999
The Power of Teaching Doctrine,Elder Henry B. Eyring,April 1999
Inspired Church Welfare,Elder Joseph B. Wirthlin,April 1999
Welcome Home,Bishop Keith B. McMullin,April 1999
Your Name Is Safe in Our Home,Elder Cree-L Kofford,April 1999
Bridges and Eternal Keepsakes,Elder Dennis B. Neuenschwander,April 1999
Like a Flame Unquenchable,Elder M. Russell Ballard,April 1999
Thanks to the Lord for His Blessings,President Gordon B. Hinckley,April 1999
Your Light in the Wilderness,Sharon G. Larsen,April 1999
Spiritual Power of Our Baptism,Carol B. Thomas,April 1999
Follow the Light,Margaret D. Nadauld,April 1999
Your Celestial Journey,President Thomas S. Monson,April 1999
"Find the Lambs, Feed the Sheep",President Gordon B. Hinckley,April 1999
Welcome to Conference,President Gordon B. Hinckley,October 1999
Lessons from Laman and Lemuel,Elder Neal A. Maxwell,October 1999
“Feed My Sheep”,Elder Ben B. Banks,October 1999
Agency—A Blessing and a Burden,Sharon G. Larsen,October 1999
One Link Still Holds,Elder Vaughn J. Featherstone,October 1999
Prophets and Spiritual Mole Crickets,Elder Neil L. Andersen,October 1999
Becoming Our Best Selves,President Thomas S. Monson,October 1999
The Sustaining of Church Officers,President James E. Faust,October 1999
The Spirit of Revelation,President Boyd K. Packer,October 1999
“For This Cause Came I into the World”,Elder Alexander B. Morrison,October 1999
Serving the Lord,Elder Adhemar Damiani,October 1999
Our Legacy,Elder Stephen B. Oveson,October 1999
Spiritual Hurricanes,Elder David R. Stone,October 1999
Do Not Delay,Elder Henry B. Eyring,October 1999
“An High Priest of Good Things to Come”,y Elder Jeffrey R. Holland,October 1999
Growing into the Priesthood,Elder Joseph B. Wirthlin,October 1999
“Behold the Man”,Bishop Richard C. Edgley,October 1999
The Faith of a Sparrow: Faith and Trust in the Lord Jesus Christ,Elder H. Bruce Stucki,October 1999
Of Seeds and Soils,President James E. Faust,October 1999
Priesthood Power,President Thomas S. Monson,October 1999
Why We Do Some of the Things We Do,President Gordon B. Hinckley,October 1999
"Hope, an Anchor of the Soul",President James E. Faust,October 1999
Beware of False Prophets and False Teachers,Elder M. Russell Ballard,October 1999
Our Destiny,Elder L. Aldin Porter,October 1999
"Peace, Hope, and Direction",Patricia P. Pinegar,October 1999
A Testimony of the Book of Mormon,Elder Russell M. Nelson,October 1999
At the Summit of the Ages,President Gordon B. Hinckley,October 1999
A Year of Jubilee,Elder L. Tom Perry,October 1999
Gospel Teaching,Elder Dallin H. Oaks,October 1999
“No Man Is an Island”,Elder Richard H. Winkel,October 1999
“The Tongue of Angels”,Elder Robert S. Wood,October 1999
Righteousness,Elder William R. Bradford,October 1999
He Lives,Elder Richard G. Scott,October 1999
Good-bye to This Wonderful Old Tabernacle,President Gordon B. Hinckley,October 1999
"Rejoice, Daughters of Zion",Mary Ellen Smoot,October 1999
"Home, Family, and Personal Enrichment",Virginia U. Jensen,October 1999
We Are Women of God,Sheri L. Dew,October 1999
What It Means to Be a Daughter of God,President James E. Faust,October 1999
To All the World in Testimony,President Gordon B. Hinckley,April 2000
The Cloven Tongues of Fire,President Boyd K. Packer,April 2000
Future Leaders,Elder Harold G. Hillam,April 2000
Living Happily Ever After,Coleen K. Menlove,April 2000
Resurrection,Elder Dallin H. Oaks,April 2000
The Shield of Faith,President James E. Faust,April 2000
The Sustaining of Church Officers,President Thomas S. Monson,April 2000
The Church Audit Committee Report,sented by Ted E. Davis,April 2000
"Statistical Report, 1999",sented by F. Michael Watson,April 2000
